gene_symbol	historical_mechanisms	exact_condition_hpo_route	exact_route_with_inheritance	exact_route_with_penetrance	exact_route_with_both	exact_condition_count	exact_sources	exact_mechanisms	included_hpo_condition_with_inheritance_and_penetrance	unlinked_same_condition_hpo_candidate	unlinked_cross_condition_gene_wide_candidate	hpo_conditions_with_both
SAT1	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
SATB1	LOF	0	0	0	0	0			0	0	0	
SATB2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SBDS	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SBF2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SCAF4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SCAPER	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SCARB2	LOF	0	0	0	0	0			0	0	0	
SCARF2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SCGN	LOF	0	0	0	0	0			0	0	0	
